County,PublishAgency,PublishTime
新北市,環境保護署,"121,26,57.26"
新北市,環境保護署,"121,27,31.2"
桃園市,環境保護署,"121,18,17.83"
苗栗縣,環境保護署,"120,49,12.72"
臺中市,環境保護署,"120,34,7.66"
彰化縣,環境保護署,"120,32,29.47"
南投縣,環境保護署,"120,41,7.1"
雲林縣,環境保護署,"120,32,41.98"
嘉義縣,環境保護署,"120,48,05.02"
嘉義縣,環境保護署,"120,14,52.12"
臺南市,環境保護署,"120,19,2.10"
高雄市,環境保護署,"120,18,20.48"
屏東縣,環境保護署,"120,29,16.92"
嘉義市,中央氣象局,"120,25,58"
臺中市,中央氣象局,"120,41,03"
澎湖縣,中央氣象局,"119,33,47"
宜蘭縣,中央氣象局,"121,45,24"
金門縣,中央氣象局,"118,17,21"
南投縣,中央氣象局,"120,54,29"
臺東縣,中央氣象局,"121,09,17"
臺東縣,中央氣象局,"121,33,30"
桃園市,中央氣象局,"121,02,51"
基隆市,中央氣象局,"121,44,26"
臺東縣,中央氣象局,"121,22,24"
臺北市,中央氣象局,"121,30,53"
屏東縣,中央氣象局,"120,44,47"
臺北市,中央氣象局,"121,31,47"
新竹縣,中央氣象局,"121,00,51"
臺南市,中央氣象局,"120,12,17"
南投縣,中央氣象局,"120,57,34"
高雄市,中央氣象局,"120,18,57"
連江縣,中央氣象局,"119,55,24"
花蓮縣,中央氣象局,"121,36,48"
嘉義縣,環境保護署,"120,52,50.06"
